dictionary_id,term,kind,chapter,decision,canonical_id,domain
quotient-space,Quotient space,Definition,5,match,quotient_space,spaces_constructions
restriction,Restriction of a map,Definition,A,new,restriction,foundations
retraction,Retraction,Definition,7,new,retraction,algebraic_topology
simply-connected,Simply connected space,Definition,7,new,simply_connected,algebraic_topology
subbasis,Subbasis for a topology,Definition,4,match,subbasis,spaces_constructions
subgroup,Subgroup,Definition,B,new,subgroup,foundations
subset,Subset,Definition,A,new,subset,foundations
subspace-topology,Subspace topology,Definition,5,match,subspace_topology,spaces_constructions
sij,Surjective / injective / bijective,Definition,A,new,sij,foundations
real-line-connected,The real numbers are connected,Theorem,6,new,real_line_connected,connectedness
topological-property,Topological property / invariant,Concept,3,new,topological_property,spaces_constructions
topological-space,Topological space,Definition,3,match,topological_space,spaces_constructions
metric-topology,Metric topology,Theorem,3,match,metric_topology,spaces_constructions
generated-topology,Topology generated by a collection,Definition,4,new,generated_topology,spaces_constructions
tube-lemma,Tube lemma,Lemma,6,new,tube_lemma,compactness
path-lifting,Unique path lifting property,Theorem,8,new,path_lifting,algebraic_topology
quotient-universal,Universal property of the quotient,Theorem,5,new,quotient_universal,spaces_constructions
pi1-invariant,π₁ is a topological invariant,Corollary,7,new,pi1_invariant,algebraic_topology
pi1-product,π₁ of a product,Theorem,7,new,pi1_product,algebraic_topology
pi1-circle,π₁(S¹) ≅ ℤ,Theorem,8,new,pi1_circle,algebraic_topology
